date,license_plate,score,dscore,vehicle_type
date,license_plate,score,dscore,vehicle_type
01/23/20 17:10:47,72c06133,0.905,0.852,Truck
01/23/20 17:10:51,72c06133,0.901,0.849,Truck
01/23/20 17:10:55,72c06133,0.901,0.846,Truck
01/23/20 17:10:59,72c06133,0.901,0.85,Truck
01/23/20 17:11:02,72c06133,0.901,0.853,Truck
date,license_plate,score,dscore,vehicle_type
01/23/20 17:21:27,72l52353,0.891,0.803,Motorcycle
01/23/20 17:21:30,72l52353,0.886,0.788,Motorcycle
01/23/20 17:21:34,72l52353,0.893,0.782,Motorcycle
01/23/20 17:21:38,12l52353,0.864,0.775,Motorcycle
01/23/20 17:21:42,72l52353,0.892,0.801,Motorcycle
01/23/20 17:21:45,72l52353,0.877,0.761,Motorcycle
01/23/20 17:21:49,72l52353,0.899,0.767,Motorcycle
01/23/20 17:21:53,12l52353,0.843,0.762,Motorcycle
01/23/20 17:21:57,12l52353,0.844,0.781,Motorcycle
01/23/20 17:22:00,22l52353,0.848,0.747,Motorcycle
01/23/20 17:22:04,72l52353,0.852,0.751,Motorcycle
01/23/20 17:22:07,72l52353,0.861,0.798,Motorcycle
01/23/20 17:22:11,72l52353,0.845,0.78,Motorcycle
01/23/20 17:22:14,72l52353,0.871,0.773,Motorcycle
01/23/20 17:22:18,22l52353,0.883,0.796,Motorcycle
01/23/20 17:22:23,72l52353,0.84,0.804,Motorcycle
01/23/20 17:22:27,22l52353,0.874,0.79,Motorcycle
01/23/20 17:22:31,22l52353,0.891,0.81,Motorcycle
01/23/20 17:22:36,72l52353,0.879,0.808,Motorcycle
01/23/20 17:22:40,22l52353,0.85,0.828,Motorcycle
01/23/20 17:22:43,22l52353,0.86,0.812,Motorcycle
01/23/20 17:22:47,72l52353,0.895,0.839,Motorcycle
01/23/20 17:22:57,72l52353,0.885,0.818,Motorcycle
01/23/20 17:23:00,22l52353,0.855,0.8,Motorcycle
01/23/20 17:23:04,12l52353,0.842,0.783,Motorcycle
01/23/20 17:23:08,72l52353,0.881,0.767,Motorcycle
01/23/20 17:23:11,22l52353,0.843,0.792,Motorcycle
01/23/20 17:23:15,22l52353,0.865,0.786,Motorcycle
01/23/20 17:23:19,72l52353,0.876,0.759,Motorcycle
01/23/20 17:23:30,72l52353,0.845,0.788,Motorcycle
01/23/20 17:23:34,72l52353,0.886,0.818,Motorcycle
01/23/20 17:23:38,72l52353,0.896,0.822,Motorcycle
01/23/20 17:23:42,22l52353,0.837,0.819,Motorcycle
01/23/20 17:23:45,22l52353,0.867,0.809,Motorcycle
01/23/20 17:23:49,72l52353,0.89,0.801,Motorcycle
01/23/20 17:23:52,72l52353,0.839,0.813,Motorcycle
01/23/20 17:23:56,72l52353,0.902,0.812,Motorcycle
01/23/20 17:24:00,22l52353,0.847,0.797,Motorcycle
01/23/20 17:24:03,72l52353,0.875,0.776,Motorcycle
01/23/20 17:24:06,72l52353,0.872,0.789,Motorcycle
01/23/20 17:24:09,72l52353,0.88,0.777,Motorcycle
date,license_plate,score,dscore,vehicle_type
date,license_plate,score,dscore,vehicle_type
date,license_plate,score,dscore,vehicle_type
date,license_plate,score,dscore,vehicle_type
date,license_plate,score,dscore,vehicle_type
date,license_plate,score,dscore,vehicle_type
date,license_plate,score,dscore,vehicle_type
date,license_plate,score,dscore,vehicle_type
date,license_plate,score,dscore,vehicle_type
date,license_plate,score,dscore,vehicle_type
date,license_plate,score,dscore,vehicle_type
date,license_plate,score,dscore,vehicle_type
date,license_plate,score,dscore,vehicle_type
date,license_plate,score,dscore,vehicle_type
date,license_plate,score,dscore,vehicle_type
date,license_plate,score,dscore,vehicle_type
date,license_plate,score,dscore,vehicle_type
date,license_plate,score,dscore,vehicle_type
date,license_plate,score,dscore,vehicle_type
date,license_plate,score,dscore,vehicle_type
date,license_plate,score,dscore,vehicle_type
date,license_plate,score,dscore,vehicle_type
date,license_plate,score,dscore,vehicle_type
